,brand,model,model_year,milage,fuel_type,engine,transmission,accident,price
1966,Acura,RDX Base,2018,68425,0,279.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,23500
1967,Toyota,4Runner Limited,2018,95000,0,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,33000
1968,RAM,1500 Limited,2019,29000,0,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,49500
1969,Chevrolet,Corvette Base,2003,145000,0,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,22000
1970,Land,Rover Defender 110 SE,2020,29700,2,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,0,68000
1971,Jeep,Grand Cherokee Laredo,2011,98658,0,360.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,14995
1972,Volvo,S80 T6,2009,97615,0,281.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,10500
1973,Porsche,Cayenne S,2014,36000,0,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,37000
1974,Mazda,CX-30 Select,2021,61874,0,2.5L I4 16V GDI DOHC,6-Speed Automatic,0,22389
1975,Chrysler,Town & Country Touring,2012,74582,3,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,8500
1976,INFINITI,FX37 Base,2013,51500,0,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,23900
1977,Toyota,FJ Cruiser Base,2007,193827,0,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,14950
1978,Chevrolet,Silverado 1500 LT,2019,53433,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,0,36950
1979,Mercedes-Benz,C-Class C 63 AMG,2012,103000,0,451.0HP 6.3L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,40000
1980,BMW,428 Gran Coupe i xDrive,2016,59000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,20999
1981,Lexus,GX 460 Premium,2017,82000,0,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,0,32900
1982,Porsche,Panamera Edition,2016,60000,0,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,45000
1983,Cadillac,Escalade ESV Platinum,2017,93971,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,0,47000
1984,Lexus,IS 350 Base,2015,62600,0,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,27500
1985,Mercedes-Benz,E-Class E 350 4MATIC,2014,84450,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,19000
1986,Audi,Q5 S line Premium,2022,18099,2,2.0 Liter TFSI,Automatic,0,40798
1987,Mercedes-Benz,E-Class E 350 4MATIC,2014,76500,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,17999
1988,Chevrolet,Camaro 1LT,2017,74000,0,275.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,19800
1989,RAM,1500 Laramie,2022,15607,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,45999
1990,Chevrolet,Silverado 1500 1LZ,2014,111095,3,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,26000
1991,Toyota,Camry Solara SLE,2007,37216,0,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,1,14995
1992,Jaguar,F-TYPE S,2015,25786,0,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,38500
1993,Jeep,Gladiator Sport,2021,15520,0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,0,40459
1994,RAM,1500 Big Horn,2021,49583,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,42816
1995,Porsche,Cayenne Diesel,2015,97300,1,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,0,29995
1996,Chevrolet,Camaro Base,2002,89000,0,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,0,10400
1997,Porsche,Cayenne S,2015,52111,0,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,37500
1998,Dodge,Challenger R/T Scat Pack,2019,75800,0,6.4 Liter,Automatic,0,35998
1999,Lexus,ES 350 Base,2010,113500,0,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,11000
2000,Audi,Q3 2.0T Premium Plus,2015,155382,0,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,13500
2001,Mercedes-Benz,E-Class E 550,2016,49643,0,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,33995
2002,BMW,650 i xDrive,2015,76474,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32000
2003,Porsche,Cayman Base,2016,10431,0,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,50999
2004,INFINITI,FX50 Base,2009,190120,0,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,12500
2005,Ford,F-150 XLT,2020,92000,0,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,29999
2006,Chevrolet,Camaro 2LT,2017,24000,0,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,32000
2007,RAM,1500 Big Horn,2020,25396,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,43250
2008,Chevrolet,Silverado 2500 H/D,2001,167000,0,300.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,6500
2009,RAM,1500 Laramie,2022,18645,0,5.7L V8 16V MPFI OHV,Automatic,0,49700
2011,Ford,Mustang V6,2016,54000,0,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,23999
2012,Hyundai,Accent GL,2003,83000,0,104.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,M/T,0,2900
2013,Audi,Q5 S line Premium Plus,2022,10071,2,2.0 Liter TFSI,Automatic,0,40598
2014,Ford,F-150 XLT,2021,43329,0,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,0,43642
2015,Lexus,RC F Base,2015,51400,0,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,43000
2016,Chevrolet,Suburban 1500 LT,2015,153800,3,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,23000
2018,Dodge,Viper SRT-10,2003,10800,0,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,65499
2019,RAM,1500 Laramie,2020,10458,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,48815
2020,BMW,328 i,2014,84709,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,13800
2021,Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,33500,0,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,45770
2022,BMW,M4 Base,2015,98000,0,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32999
2023,BMW,750 i,2008,94653,0,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,1,7300
2024,Ford,Expedition Limited,2023,9281,0,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,85000
2025,Chevrolet,Traverse Premier,2023,11806,0,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,47000
2027,Cadillac,Escalade Platinum,2020,48613,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,1,61500
2028,RAM,3500 Tradesman,2023,2990,1,400.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,A/T,1,69900
2029,Audi,TT 1.8L,2005,124747,0,180.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,6900
2030,RAM,1500 Big Horn,2021,24000,2,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,0,42000
2031,Mazda,CX-7 Sport,2009,113000,0,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,5499
2032,INFINITI,QX60 Base,2017,89106,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,18000
2033,Ford,F-250 Platinum,2017,22000,3,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,53000
2034,Jeep,Compass Limited,2022,20472,0,2.4L I4 16V MPFI SOHC,9-Speed Automatic,0,28298
2035,INFINITI,QX80 SENSORY,2023,8600,0,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,78990
2036,Chevrolet,Silverado 1500 Limited LT Trail Boss,2022,4753,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,57000
2037,Hyundai,Genesis Coupe 2.0T,2010,65000,0,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,8900
2038,Chevrolet,Camaro 1SS,2021,15000,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,43500
2039,Chevrolet,Tahoe Base,1997,229000,1,180.0HP 6.5L 8 Cylinder Engine Diesel Fuel,A/T,1,19500
2040,Audi,A6 3.0 TDI Premium Plus,2014,42400,1,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,0,26500
2041,Land,Rover Defender S,2023,15840,0,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,69900
2042,Porsche,Cayenne S,2016,76200,0,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,42000
2043,Chevrolet,Suburban Premier,2019,105667,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,39000
2044,Chevrolet,Suburban Premier,2019,51338,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,49900
2045,Dodge,Dart SE,2016,76857,0,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,1,8100
2046,Ford,F-250 Lariat,2019,80200,3,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,0,42500
2047,Toyota,Sequoia SR5,2002,244200,0,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,1,3950
2048,Ford,Mustang GT,2014,38560,0,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,28500
2049,Chevrolet,Corvette Stingray w/2LT,2020,12500,0,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,84999
2050,Hyundai,Genesis Coupe 3.8 Base,2016,45303,0,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,20999
2051,Ford,Focus ST Base,2014,110000,0,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,9495
2052,Cadillac,CTS Luxury,2011,66200,0,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,16499
2053,Subaru,Baja Base,2003,71000,0,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,0,14900
2054,Toyota,Highlander XLE,2019,81301,0,3.5L V6 24V PDI DOHC,8-Speed Automatic,0,30275
2055,Chevrolet,Corvette Stingray Z51,2019,7033,0,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,63900
2056,Dodge,Durango SRT,2020,36000,0,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,62000
2057,Acura,TSX 2.4,2010,116000,0,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,1,9000
2058,Chevrolet,Camaro 2SS,2018,42780,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,41100
2059,BMW,640 Gran Coupe i,2014,39886,0,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,26000
2060,Audi,S5 3.0T Premium Plus,2014,151400,0,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,15400
2061,Alfa,Romeo Giulia Base,2017,48000,0,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,20500
2062,Toyota,Highlander XLE,2023,8727,0,2.4L I4 16V PDI DOHC Turbo,8-Speed Automatic,0,44596
2063,Rolls-Royce,Ghost Base,2011,79000,0,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,80300
2064,Dodge,Challenger R/T,2020,54000,0,372.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,34000
2065,Porsche,Cayenne Base,2016,110000,0,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,1,25900
2067,Mercedes-Benz,Metris Base,2020,14000,0,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,48000
2069,Chevrolet,Silverado 1500 ZR2,2022,11597,0,6.2L V8 16V GDI OHV,Automatic,0,68590
2070,Mercedes-Benz,AMG S 63 Base 4MATIC,2017,86101,0,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,1,72777
2071,Chevrolet,Silverado 1500 LT,2017,58816,0,5.3L V8 16V GDI OHV,6-Speed Electronically Controlled Automatic with O,0,36590
2072,Lexus,RC 350 Base,2016,77856,0,3.5L V6 24V PDI DOHC,6-Speed Automatic,0,30919
2074,GMC,Acadia SLE-1,2015,115282,0,3.6L V6 24V GDI DOHC,6-Speed Automatic,1,12433
2076,MINI,Cooper Base,2003,103726,0,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,5995
2077,Mazda,MX-5 Miata Sport,2008,39800,0,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,13250
2078,Toyota,4Runner TRD Off Road,2019,79500,0,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,0,33333
2079,Toyota,Highlander Limited,2008,165520,0,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,9000
2080,BMW,650 Gran Coupe i,2014,92000,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,24000
2081,Hyundai,Palisade Calligraphy,2023,1500,0,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,55000
2082,Pontiac,Solstice GXP,2008,38100,0,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,0,19950
2083,Land,Rover Range Rover Evoque SE Premium,2018,42125,0,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,38999
2084,Porsche,Cayenne Diesel,2014,86818,1,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,0,33500
2085,BMW,M3 Competition xDrive,2023,3490,0,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,95580
2086,Toyota,Avalon Limited,2008,111300,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,7900
2087,BMW,M3 Base,2011,98200,0,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,27000
2088,Porsche,Panamera Base,2018,42500,0,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,53999
2089,Jeep,Wrangler Sport,2001,171000,0,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,1,15000
2090,Honda,Passport TrailSport,2023,11649,0,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,39999
2091,Mercedes-Benz,SL-Class SL 550,2013,24933,0,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,40250
2092,Audi,RS 4 Base,2007,99769,0,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,29995
2093,Toyota,Avalon Limited,2022,16156,0,3.5L V6 24V PDI DOHC,8-Speed Automatic,0,39390
2094,Mercedes-Benz,E-Class E 350 4MATIC,2008,67250,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,11900
2095,GMC,Yukon Denali,2021,30022,0,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,1,74500
2096,Porsche,Panamera 4S,2017,42596,0,440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,78000
2097,Ford,Explorer XLT,2021,33705,0,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,1,36995
2098,Land,Rover LR4 HSE LUX Landmark Edition,2016,63300,0,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,31000
2099,Acura,TLX Type S w/Performance Tire,2023,4700,0,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,52000
2100,Toyota,Tacoma Base,2020,27256,0,3.5 Liter,6 Speed At/Mt,0,42998
2101,Hummer,H3 Base,2010,107481,0,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,A/T,0,13500
2104,Jeep,Wrangler Unlimited Sahara,2017,128000,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,26800
2105,Chevrolet,Camaro 2SS,2018,26000,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,39000
2106,Audi,S6 4.0T,2015,74000,0,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,29950
2107,Audi,TT RS Base,2012,54900,0,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,28900
2108,INFINITI,QX56 Base,2012,141775,0,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,11500
2109,Volkswagen,New Beetle GLS,2001,63250,0,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,12000
2110,Audi,Q5 S line Premium Plus,2022,13895,2,2.0 Liter TFSI,Automatic,0,44998
2112,Ford,F-250 XL,2014,35900,3,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,1,27900
2113,GMC,Yukon XL Denali,2022,48306,0,6.2L V8 16V GDI OHV,10-Speed Automatic,1,71999
2114,Audi,A4 2.0T Premium,2012,125000,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,10500
2117,Mazda,CX-30 Premium Package,2021,45303,0,2.5L I4 16V GDI DOHC,6-Speed Automatic,0,25382
2118,Lexus,ES 350 Base,2016,53900,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,27500
2119,Jeep,Wrangler Sahara,2008,54000,0,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,0,20000
2120,Chevrolet,Avalanche 1500 LTZ,2007,129000,0,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,17950
2121,Jeep,Grand Cherokee L Laredo,2022,10232,0,3.6L V6 24V MPFI DOHC,Automatic,0,44646
2122,Acura,MDX w/Advance Package,2023,3708,0,3.5 Liter SOHC,Automatic,0,58998
2123,Nissan,Pathfinder SL,2018,167000,0,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,14500
2125,Subaru,Impreza Premium,2022,10419,0,"2L H-4 gasoline direct injection, DOHC, variable valve control,",Variable,1,24998
2126,Audi,A8 4.0T,2014,96238,0,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,22500
2127,Subaru,Ascent Limited 7-Passenger,2022,12700,0,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,0,38500
2128,Chevrolet,Avalanche 1500 LT,2007,244000,3,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,0,16900
2129,Porsche,Cayenne S,2015,124000,0,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,25000
2130,BMW,335 i,2009,123000,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,0,15000
2131,GMC,Sierra 1500 Limited Elevation,2022,24900,0,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,49900
2132,Ford,Explorer Sport,2016,95500,0,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,20000
2134,Lexus,LX 570 Three-Row,2021,48300,0,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,82000
2135,BMW,M3 Base,2008,94000,0,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,25999
2136,Nissan,Xterra Pro-4X,2011,183000,0,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,1,12000
2137,Ford,Fusion Hybrid SE Hybrid,2013,126225,2,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,1,11500
2138,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,87892,0,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,16000
2139,Cadillac,CTS-V Base,2012,45000,0,556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,41500
2141,Lexus,GX 460 Base,2015,106000,0,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,0,37500
2142,GMC,Acadia SLT-1,2019,51300,0,193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,25500
2143,Ford,Bronco Sport Big Bend,2021,30176,0,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,0,28979
2144,Nissan,Titan SV,2021,27598,0,5.6L V8 32V GDI DOHC,9-Speed Automatic,0,39884
2145,Volkswagen,Jetta SportWagen SE,2012,107000,0,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,A/T,0,9499
2146,Land,Rover Range Rover 5.0L V8 Supercharged,2019,17500,0,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,65000
2147,RAM,2500 Laramie,2017,117878,1,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Transmission w/Dual Shift Mode,0,42000
2148,Nissan,Murano SL,2010,138700,0,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,1,7000
2149,Cadillac,Escalade ESV Base,2009,152068,3,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,12350
2150,BMW,428 i xDrive SULEV,2016,77000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,26999
2151,Ford,Focus RS Base,2017,26000,0,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,37000
2152,Lexus,CT 200h Premium,2014,131200,2,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,0,14000
2153,Buick,Enclave Leather,2017,83280,0,3.6L V6 24V GDI DOHC,6-Speed Automatic,0,20599
2154,BMW,M3 Base,2015,59000,0,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,53500
2155,Volkswagen,Arteon 2.0T SEL R-Line,2020,15500,0,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,30000
2156,BMW,X6 xDrive35i,2013,90000,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,19950
2157,INFINITI,G35 Base,2006,94000,0,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,10995
2158,Hummer,H2 Base,2008,63750,0,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,55000
2159,Mercedes-Benz,C-Class C 300 4MATIC Luxury,2011,95500,0,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,1,15990
2160,Acura,ILX Premium Package,2019,37900,0,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,0,26000
2162,RAM,1500 Longhorn,2019,76249,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,1,40995
2163,BMW,M3 Base,2001,81000,0,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,39000
2164,Chevrolet,Suburban LT,2022,37806,0,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,60894
2165,Dodge,Ram 2500 ST,2010,151544,0,355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,1,17700
2166,Chevrolet,Camaro 2SS,2012,60345,0,400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,26950
2167,Dodge,Challenger SE,2010,90305,0,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,12000
2168,Jeep,Grand Cherokee L Limited,2022,13275,0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,0,42599
2169,Chevrolet,Camaro 2SS,2018,8660,0,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,45000
2170,Ford,F-350 Lariat,2021,28220,1,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,0,73600
2171,Ford,F-250 King Ranch,2015,97700,1,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,0,39950
2174,Lincoln,MKC Reserve,2016,100000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,24000
2175,Ford,Excursion Limited,2001,333361,1,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,A/T,1,17000
2176,Land,Rover Discovery SE,2018,63295,0,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,29993
2177,Land,Rover Defender V8,2022,3000,0,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,96500
2178,Chevrolet,Silverado 1500 2LT,2014,102604,3,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,25500
2180,Ford,F-250 XLT,2019,124000,3,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,40100
2182,Lexus,LX 570 Three-Row,2018,39300,0,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,69500
2183,INFINITI,QX60 Luxe,2019,51000,0,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,1,29000
2185,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,67000,0,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,35999
2186,INFINITI,QX60 Base,2014,95400,0,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,14195
2187,Hyundai,Sonata GLS,2013,136991,0,198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,11000
2188,Toyota,Tundra Limited,2022,3959,0,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,55000
2189,Jeep,Grand Cherokee Limited,2020,47500,0,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,31000
